Author_id,Isbn
1,0195153445
1,0195153448
2,0002005018
3,0060973129
4,0374157065
5,0393045218
6,0399135782
7,0425176428
8,0671870432
9,0679425608
10,074322678X
11,0771074670
12,080652121X
13,0887841740
14,1552041778
15,1558746218
16,1567407781
17,1575663937
18,1881320189
19,0440234743
20,0452264464
21,0609804618
22,1841721522
23,1879384493
24,0061076031
25,0439095026
26,0689821166
27,0971880107
28,0345402871
28,0345417623
29,0684823802
30,0375759778
31,0425163091
32,3404921038
33,3442353866
34,3442410665
35,3442446937
36,0375406328
37,0446310786
38,0449005615
39,0060168013
40,038078243X
41,055321215X
42,067176537X
43,0061099686
44,0553582909
45,0671888587
45,0553582747
46,0425182908
47,042518630X
48,0440223571
49,0812523873
50,0842342702
50,0440225701
51,0060914068
52,0156047624
53,0245542957
54,0380715899
55,0553280333
56,0961769947
57,0964778319
58,0671623249
59,0679810307
59,0679865691
60,2070423204
61,0345260317
62,0394743741
63,042511774X
63,0804106304
64,1853262404
65,0312970242
66,1853260053
67,1414035004
68,0060938412
69,0140067477
69,0345465083
70,0451625889
71,1558531025
72,0441783589
73,0394895894
74,0375410538
75,0966986105
76,087113375X
77,0340767936
78,0743403843
79,0060930365
80,0060177586
81,0071416331
82,0375509038
83,0553062042
84,0316769487
85,0679429220
85,0671867156
86,0312252617
87,0312261594
88,0316748641
89,0316973742
90,0385235941
91,0446677450
92,0451166892
93,0553347594
94,0671621009
95,067976397X
96,0684822733
97,0786868716
98,0671864769
99,0671521519
100,0440222303
101,0312953453
102,0446608653
103,0446612545
103,0446612618
104,0451208080
105,0553584383
106,0671027360
107,0812575954
108,0316735736
109,0743439740
110,0345372700
111,0380619458
111,0446325805
112,0451406923
113,0671042858
114,0743249992
115,0840734530
116,0425184226
117,0375500766
118,9724119378
119,0451205197
120,0060929790
121,0060976845
122,0061099325
122,0671004573
123,0446601640
124,0330484516
125,038572179X
126,0393020371
127,1900850303
128,1903019699
129,0345425294
130,0451410319
131,0553583468
132,0380778556
133,0451525221
134,0002740230
135,0385336772
136,0440949424
137,0505524996
138,0140252800
139,0451452755
140,0812575482
140,044651747X
141,0060801263
142,0061030147
143,0140250964
144,0446527165
145,0671461494
146,0385337639
147,039575514X
148,0451206673
149,0330332775
150,0486284735
151,0671021745
151,0671047612
151,0671504282
152,0399138684
153,0785263292
154,0830714014
155,0345354931
156,0553278223
157,3150000335
158,3257203659
159,3257207522
159,3257208626
160,3257208634
161,3257208669
162,3257210450
162,3257212054
162,3257212429
163,3257214154
163,3257216416
164,3257233051
165,342311360X
166,3423116714
167,3423241489
168,3426605686
169,3453212150
170,3462021095
171,3492045642
172,3498020862
173,3499110695
174,3499151502
175,3518111000
176,3548254268
177,3570300099
178,3596292646
179,0060977493
180,0312872682
181,0316602906
181,0316693006
182,0345311396
182,0345378490
182,0345404793
183,0345433173
184,0375400117
185,0375705856
186,0380717018
187,0380718332
188,0380754509
189,038076654X
189,0380807866
190,0385316895
190,0385497466
190,0385508042
191,0385509456
191,0385511612
192,0385730586
193,0425164403
194,0440234964
194,0446605484
195,0446610399
196,0449006522
196,0449911004
196,0451162072
197,0451186648
198,0452282152
199,051513290X
200,0553580388
201,0590598848
202,0590629719
202,0671023616
202,0671027387
203,0684848783
203,0743486226
204,0786863986
205,0803251718
206,0804117934
207,140003180X
208,155874262X
209,0060987103
210,0151008116
211,0375704965
212,0525947647
213,0804111359
213,1558744150
214,0435272683
214,0316782505
215,006102063X
215,0060013117
215,0060199563
216,006052779X
217,0060563079
218,0060809027
219,0061040967
219,0061050474
219,0061052515
219,0061052523
220,0064472264
220,0140620664
221,0312148267
222,0312156960
223,0312890044
224,034543191X
225,0373836023
226,0375751513
227,0375801677
228,0375814248
228,0375823352
228,037582345X
228,0375823468
228,0380730448
228,0380973839
229,0385327773
230,0394586239
231,0439510112
232,0440241413
233,0451409256
234,0451523415
235,0451526279
236,0451526341
237,0486415864
238,0553280589
238,0571197639
239,0670035262
239,0679423079
239,0679751343
240,0684833395
241,0743245024
242,0749748001
242,0749748028
243,0963094424
244,1401201172
245,1563892278
246,1563898586
247,156971620X
248,1592571301
249,0374270325
250,0375719180
251,0440235502
251,044023722X
252,1573225487
252,1853260673
253,0060977477
254,0345391691
255,0520011171
256,0553278746
257,0670856045
258,0872200760
259,0937858994
260,0671649949
261,0590431110
262,0064470113
263,0553571486
264,0972044205
265,0312963009
266,0345430476
267,0345435869
268,0380728729
269,038081840X
270,0449912302
271,055329198X
272,0671018930
273,0812541642
274,0312988699
275,0486282112
276,0670815373
277,0385313748
278,1575843366
278,0684193957
279,0345371984
280,0380730138
281,1573228737
282,9681500555
283,0380711109
284,0452283914
284,0425120279
285,067153484X
286,0380728273
287,0446606197
288,0771076002
289,0771088191
290,1559703237
291,3596214629
292,0062770500
293,0671847546
294,0060188731
295,0140374248
296,0142001740
297,0195086295
297,0312995423
298,0380704587
299,0380815923
299,0385416342
300,0385418493
300,038542471X
301,0425098109
302,0449005410
303,0449202631
303,0449207544
304,0515128554
304,0517577402
305,0590450875
306,0590481371
307,067103619X
308,0684177730
309,0684180200
309,0743411269
310,0743470389
311,076218857X
312,0767905938
313,0800706544
314,0801096677
315,0849953014
316,0891091963
317,0915811537
318,0927545373
319,1575024179
320,1880185008
321,0140345809
322,0156528207
323,0380012863
324,0451154916
325,0785815147
326,0875421288
327,1567184294
328,156718796X
329,1862047626
330,0020437501
331,0198320264
332,0373196989
333,0373245580
334,0451527747
334,0671867113
335,0812504208
335,0060173289
336,0060973897
336,006101351X
337,0140104682
338,0312143370
339,0316666343
340,039456894X
341,0440224675
342,0449002632
343,0449213773
344,0452279690
344,0553569058
345,0679427430
346,0679725393
347,0802114369
348,0803233019
349,0819154946
350,0897322339
351,0940322978
352,1573225126
353,1579651658
354,1878424319
355,0600586898
356,1853260622
357,1857938011
358,0060804157
359,0140382658
360,0152012966
361,0312283784
361,0345297709
361,0345313097
362,0345335465
363,0345416848
364,0385333404
364,044021145X
365,0449212084
366,0553582682
367,0590947257
368,074345829X
369,0786913878
370,0801491827
371,0816729913
372,0843136685
373,0866119531
374,0866119566
375,0870441663
376,1561561428
377,0553210092
377,0553258524
377,0688163726
378,1569471096
379,055358099X
379,0316168815
380,014023828X
381,0316314927
381,0345424719
382,0375414746
383,0375726403
383,0385503857
384,0425156842
385,0440226104
386,0452277337
386,0553802488
387,0671021001
388,0767903579
389,0805063897
390,0679777431
391,0553285343
