Author_id,Name
1,"mark p. o. morford,robert j. lenardon"
2,richard bruce wright
3,carlo d'este
4,gina kolata
5,"elizabeth wayland barber,e. j. w. barber"
6,amy tan
7,robert cowley
8,"scott turow,stacy keach"
9,david cordingly
10,ann beattie
11,david adams richards
12,kensington
13,sheila heti
14,j. r. kaiser
15,"jack canfield,mark victor hansen,jennifer read haw"
16,"loren d. estleman,john kenneth"
17,robert hendrickson
18,julia oliver
19,john grisham
20,toni morrison
21,"the onion,scott dikkers,mike loew"
22,"celia brooks brown,jane noraika,philip webb"
23,j. r. parrish
24,mary-kate &amp; ashley olsen
25,robynn clairday
26,"kathleen duey,karen a. bale,bill dodge"
27,rich shapero
28,michael crichton
29,c.s. lewis
30,arthur phillips
31,stephen jaramillo
32,"mordecai richler,michael panofsky,anette grube"
33,"eleanor cooney,daniel altieri"
34,charlotte link
35,"richard north patterson,kristian lutze"
36,mark salzman
37,harper lee
38,laura hillenbrand
39,barbara kingsolver
40,jo dereske
41,jane austen
42,dolores krieger
43,anne rivers siddons
44,dean koontz
45,mary higgins clark
46,patricia cornwell
47,j.d. robb
48,maeve binchy
49,laura j. mixon
50,"tim lahaye,jerry b. jenkins"
51,bernie s. siegel m.d.
52,robert penn warren
53,hans johannes hoefer
54,mark helprin
55,"o. carl simonton m.d.,james creighton ph.d.,stepha"
56,chuck hill
57,david iglehart
58,larry mcmurtry
59,suzanne fisher staples
60,michel tournier
61,carl sagan
62,aleksandr zinoviev
63,anne tyler
64,joseph conrad
65,"deepak chopra,martin greenberg"
66,thomas hardy
67,"charles noland,sherri baker"
68,valerie frankel
69,benjamin hoff
70,niccolo machiavelli
71,h. jackson brown jr.
72,robert a. heinlein
73,philip pullman
74,michael ondaatje
75,sandra levy ceren
76,p. j. o'rourke
77,mike gayle
78,stel pavlou
79,sarah payne stuart
80,dan quayle
81,"donald f. kettl,donald kettl"
82,david frum
83,louis l'amour
84,j.d. salinger
85,john berendt
86,jennifer crusie
87,jane heller
88,michael rips
89,simon mawer
90,william abrahams
91,"robert t. kiyosaki,sharon l. lechter"
92,ken follett
93,john f. love
94,robert g. allen
95,louis de bernieres
96,"pam proctor,allen m. schoen"
97,mitch albom
98,"michael jan friedman,ronald d. moore"
99,glendon swarthout
100,"neal barrett jr.,j. michael straczynski"
101,david morrell
102,sandra brown
103,"james patterson,peter de jonge"
104,stuart woods
105,iris johansen
106,dan brown
107,joe hutsko
108,anita shreve
109,ann rule
110,lewis grizzard
111,paul theroux
112,"charles hickey,todd lighty,john o'brien"
113,stephen king
114,ben mezrich
115,bill hand
116,tom clancy
117,dana reeve
118,roy
119,barbara metzger
120,gabriel garcia marquez
121,rebecca wells
122,tony hillerman
123,robert james waller
124,rachel harris
125,ian mcewan
126,michael lewis
127,richard zimler
128,norman jetmundsen
129,lorenzo carcaterra
130,anne frasier
131,kay hooper
132,daphne du maurier
133,"nathaniel hawthorne,leo marx"
134,nick page
135,laura wolf
136,lois duncan
137,susan grant
138,barbara vine
139,shirley rousseau murphy
140,jane lindskold
141,betty smith
142,"cybill shepherd,aimee lee ball"
143,stewart o'nan
144,david baldacci
145,douglas adams
146,mary lawson
147,willa cather
148,olivia goldsmith
149,helen fielding
150,"jane austen,dover thrift editions"
151,franklin w. dixon
152,lilian jackson braun
153,"holly virden,michelle mckinney hammond"
154,h. norman wright
155,piers anthony
156,ray bradbury
157,"friedrich schiller,walter schafarschik"
158,"ray bradbury,peter naujack"
159,"raymond chandler,hans wollschläger"
160,"ray bradbury,thomas schlück"
161,"ray bradbury,norbert wölfl"
162,"ray bradbury,alexander schmitz"
163,"ray bradbury,jürgen bauer,alastair ker"
164,"paulo coelho,maralde meyer-minnemann"
165,gabriel garcía márquez
166,fay weldon
167,arabella weir
168,"kiana davenport,margarete längsfeld"
169,sue townsend
170,renan demirkan
171,"michael moore,helmut dierlamm,heike schlatterer"
172,"jonathan franzen,bettina abarbanell"
173,"j. d. salinger,annemarie böll,heinrich böll,elisab"
174,"j. d. salinger,annemarie böll,heinrich böll"
175,"james joyce,hans wollschläger"
176,joanna trollope
177,"sue townsend,antoinette gittinger"
178,milan kundera
179,arundhati roy
180,robert s. levinson
181,james patterson
182,richard north patterson
183,lorna landvik
184,arthur golden
185,kent haruf
186,patricia d cornwell
187,patricia d. cornwell
188,"carol j. farley,tom newsom"
189,kathleen e. woodiwiss
190,belva plain
191,mark haddon
192,ann brashares
193,erich segal
194,elizabeth adler
195,nicholas sparks
196,john saul
197,steve thayer
198,tracy chevalier
199,judith kelman
200,michael palmer
201,francine hughes
202,norman bridwell
203,frank mccourt
204,malachy mccourt
205,mari sandoz
206,anne perry
207,alexander mccall smith
208,"jack canfield,mark victor hansen,barbara bergman"
209,gregory maguire
210,yann martel
211,ruth rendell
212,al franken
213,donna tartt
214,john milne
215,terry pratchett
216,"e. b. white,garth williams"
217,j. m. barrie
218,mary o'hara
219,"terry pratchett,paul kidby"
220,louise rennison
221,kenneth grahame
222,bernard cornwell
223,charles de lint
224,"lord dunsany,neil gaiman"
225,georgette heyer
226,"oscar wilde,jeffrey eugenides"
227,"ted hughes,andrew davidson"
228,"roald dahl,quentin blake"
229,donna jo napoli
230,a.s. byatt
231,tanuja desai hidier
232,sophie kinsella
233,isabel wolff
234,louisa may alcott
235,"jane austen,margaret drabble"
236,george orwell
237,charles dickens
238,isabel allende
239,"ellen datlow,terri windling,charles vess,neil gaim"
240,joseph heller
241,john galsworthy
242,enid blyton
243,neil gaiman
244,"alan moore,kevin o'neill,ben dimagmaliw"
245,"neil gaiman,sam kieth,mike dringenberg,malcolm jon"
246,alan moore
247,"neil gaiman,john bolton"
248,trudy suggs
249,tom wolfe
250,brady udall
251,homer hickam
252,pearl abraham
253,sebastian junger
254,karen armstrong
255,"mary barnard,dudley fitts"
256,david brin
257,"t. c. boyle,t. coraghessan boyle"
258,"plato,alexander nehamas,paul woodruff"
259,"lynda madaras,dane saavedra,jackie aher"
260,stephen mccauley
261,isabelle holland
262,pam conrad
263,lurlene mcdaniel
264,brian kaufman
265,john darnton
266,martin schenk
267,"david eddings,leigh eddings"
268,paul reiser
269,"david g. hartwell,kathryn cramer"
270,dave barry
271,john r. holt
272,theodore beale
